,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
2169,2169,22,19,41.73621712,23.666572,2.020529324,0.690717205,3.142074744,0.459727859,0.112469191,2.5269773,7.532148,4.449852512,1.763509186,1.772087441,1.938983376,3.260517782,0.656971334
70,70,78,11,41.57162697,21.833246,1.594830115,0.610848305,2.61958317,0.419272467,0.129385016,2.150559,8.334626,3.953395392,1.9040516,1.899540902,2.054397714,3.548238958,0.743404253
2124,2124,22,13,41.41590867,13.833278,2.368650706,0.685416232,1.836564815,0.559754465,0.112469191,2.5269773,7.532148,4.81796398,2.993933084,2.967271442,3.224052072,5.074337041,0.46390197
1081,1081,42,12,41.30486504,6.66664,1.896351609,0.933977985,1.129996824,0.883811998,0.135855321,1.2675554,5.899698,4.310944881,6.195754539,6.056006412,6.238361383,9.938633304,0.574302772
1182,1182,76,5,41.30306453,10.166626,4.370589064,0.614102659,1.23223018,0.810140973,0.12979822,2.1118326,8.25059,6.544598752,4.062612762,3.97323459,4.399371906,7.425466701,0.779155392
625,625,81,0,41.26929322,15.666604,1.735379061,0.60645884,1.879842093,0.479804206,0.130197266,2.123624,8.334,4.123919834,2.634220743,2.600676065,2.624261173,4.862177049,0.800458878
3494,3494,24,2,41.1053751,14.99994,1.327887355,0.749534607,2.154672955,0.438228182,0.115793557,2.163684,6.9615855,3.607394639,2.740369302,2.754628401,2.824006554,4.644822966,0.586173255
1009,1009,23,26,41.09676342,28.33322,2.319710771,0.681921642,3.77014095,0.532203847,0.114922357,2.4139028,7.515162,4.767930951,1.450479805,1.436944604,1.449311804,3.4737337,0.647942614
1008,1008,23,26,41.0495638,28.166554,2.319710771,0.681138455,3.74796365,0.574319939,0.114922357,2.4139028,7.515162,4.767930951,1.457386793,1.443349142,1.454007394,3.4737337,0.654820859
1620,1620,77,5,40.95658161,12.333284,2.838231532,0.608951078,1.494836612,0.587817076,0.12979822,2.1118326,8.25059,5.273961415,3.320817198,3.310133884,3.495817219,5.631332706,0.707179507
679,679,81,11,40.92294176,27.333224,3.299635024,0.60136915,3.279724502,0.793031313,0.130197266,2.123624,8.334,5.686512396,1.497186785,1.498543538,1.525605605,3.676623983,0.693837896
